epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3924,1.05518,2.50941,1.4133,0.15081,0.57567,0.22805,0.16754,1.56677,429.124,2.32322,0.00035725,0.00035725,0.00035725
2,25.0225,1.11377,1.73527,1.42785,0.06975,0.38362,0.05781,0.01971,2.62064,378.02,4.74538,0.00071436,0.00071436,0.00071436
3,37.3048,1.20932,1.73784,1.48983,0.009,0.31418,0.00375,0.00109,2.58616,1488.95,5.22871,0.00105676,0.00105676,0.00105676
4,53.3446,1.22602,1.71843,1.51691,0.75,0.16667,0.05592,0.0388,3.48646,1817.55,3.86093,0.00134412,0.00134412,0.00134412
5,65.1455,1.29538,1.65781,1.56085,0,0,0,0,4.43522,inf,34.7642,0.00131582,0.00131582,0.00131582
6,77.1953,1.24982,1.61865,1.51768,0.15306,0.17816,0.17462,0.1517,2.28579,463.408,2.95197,0.00128753,0.00128753,0.00128753
7,88.8228,1.19117,1.58956,1.48775,0.02356,0.07399,0.00755,0.00199,2.24597,183.979,3.13962,0.00125923,0.00125923,0.00125923
8,100.676,1.1354,1.49081,1.43889,0.06203,0.27275,0.03139,0.01771,2.32699,220.547,2.83982,0.00123094,0.00123094,0.00123094
9,112.252,1.08056,1.34728,1.39955,0.29782,0.23587,0.27417,0.21605,2.0668,400.616,2.7315,0.00120265,0.00120265,0.00120265
10,124.624,1.04455,1.25732,1.38383,0.31767,0.52251,0.27404,0.1563,1.83962,50.5796,2.96105,0.00117435,0.00117435,0.00117435
11,135.702,1.06334,1.26759,1.37463,0.32116,0.26143,0.30388,0.23849,1.4085,140.603,2.4085,0.00114606,0.00114606,0.00114606
12,148.725,1.01555,1.16131,1.34773,0.53492,0.42401,0.51862,0.23868,1.74473,30.9918,2.67836,0.00111776,0.00111776,0.00111776
13,169.723,0.98685,1.13607,1.31792,0.34983,0.59735,0.46396,0.29921,1.48889,42.7719,2.23391,0.00108947,0.00108947,0.00108947
14,181.843,0.98187,1.10051,1.32141,0.32534,0.43469,0.40704,0.28217,1.52088,33.5458,2.18621,0.00106118,0.00106118,0.00106118
15,193.294,0.99394,1.10428,1.3211,0.21955,0.5431,0.35618,0.25544,1.77228,36.0831,2.47166,0.00103288,0.00103288,0.00103288
16,204.925,0.93092,0.98724,1.25765,0.59182,0.56346,0.5862,0.41822,1.35113,22.4577,1.86179,0.00100459,0.00100459,0.00100459
17,216.705,0.93216,1.0317,1.28946,0.36248,0.40223,0.37016,0.26746,1.42518,113.417,2.12293,0.000976293,0.000976293,0.000976293
18,228.209,0.86888,1.00843,1.24707,0.34138,0.5431,0.46861,0.34789,1.29853,23.4085,1.98543,0.000947999,0.000947999,0.000947999
19,239.587,0.85379,0.97302,1.23329,0.40514,0.64419,0.55884,0.39381,1.38538,15.3889,2.03355,0.000919704,0.000919704,0.000919704
20,251.393,0.83725,0.89877,1.23543,0.94505,0.16667,0.37148,0.26527,1.33144,62.7817,1.90009,0.00089141,0.00089141,0.00089141
21,262.954,0.83288,0.91526,1.20156,0.73073,0.20115,0.34502,0.26721,1.29972,18.4758,1.90036,0.000863116,0.000863116,0.000863116
22,274.734,0.81859,0.83768,1.2045,0.48617,0.54963,0.5295,0.36549,1.36423,9.67819,1.98369,0.000834822,0.000834822,0.000834822
23,286.136,0.84164,0.89463,1.24959,0.54995,0.54308,0.50496,0.34707,1.28338,9.89009,1.84335,0.000806528,0.000806528,0.000806528
24,299.975,0.80244,0.85107,1.19724,0.78895,0.47043,0.66471,0.44908,1.24029,14.1972,1.88974,0.000778233,0.000778233,0.000778233
25,314.929,0.83662,0.83202,1.23218,0.49377,0.50501,0.40421,0.28146,1.53019,43.9051,2.20305,0.000749939,0.000749939,0.000749939
26,329.241,0.76946,0.80808,1.18217,0.45778,0.54526,0.48612,0.38321,1.29947,16.2966,1.96682,0.000721645,0.000721645,0.000721645
27,340.803,0.77811,0.81801,1.20453,0.37334,0.67553,0.53149,0.39961,1.23273,17.7013,1.88244,0.000693351,0.000693351,0.000693351
28,360.706,0.79265,0.78497,1.19612,0.8955,0.38439,0.63771,0.45999,1.17011,17.2547,1.81367,0.000665057,0.000665057,0.000665057
